"region","htitem_id","title","author","date","rights","OCLC"
"northeast","hvd.32044010476844","The lost princess of Oz / by L. Frank Baum ; illustrated by John R. Neill ","Baum L. Frank 1856-1919.","1917-00-00","1","13922750"
"northeast","hvd.32044010476851","Glinda of Oz : in which are related the exciting experiences of Princess Ozma of Oz and Dorothy in their hazardous journey to the home of the Flatheads and to the magic isle of the Skeezers and how they were rescued from dire peril by the sorcery of Glinda the Good / by L. Frank Baum. Illustrated by John R. Neill ","Baum L. Frank 1856-1919.","1920-00-00","1","5764581"
"newengland","hvd.32044011390291","The boarding school; or Lessons of a preceptress to her pupils; consisting of information instruction and advice calculated to improve the manners and form the character of young ladies.  To which is added a collection of letters written by the pupils to their instructress their friends and each other. By a lady of Massachusetts; author of  The coquette 1829","[Foster Mrs. Hannah (Webster)] 1759-1840.","1829-00-00","1","6173872"
"northeast","hvd.32044011420494","Pierre or The ambiguities / by Herman Melville ","Melville Herman 1819-1891.","1852-00-00","1","12230558"
"west","hvd.32044011656378","The scarlet plague by Jack London ... illustrated by Gordon Grant ","London Jack 1876-1916.","1915-00-00","1","1161842"
"northeast","hvd.32044011795861","The Tin Woodman of Oz : a faithful story of the astonishing adventure undertaken by the Tin Woodman assisted by Woot the Wanderer the Scarecrow of Oz and Polychrome the Rainbow's daughter / by Frank Baum...illustrated by John R. Neill ","Baum L. Frank 1856-1919","1918-00-00","1","1627745"
"northeast","hvd.32044011863370","The royal book of Oz : in which the scarecrow goes to search for his family tree and discovers that he is the long lost emperor of the Silver island and how he was rescued and brought back to Oz by Dorothy and the cowardly lion / By L. Frank Baum ... Enl. and ed. by Ruth Plumly Thompson. Illustrated by John R Neill ","Baum L. Frank 1856-1919","1921-00-00","1","1359869"
"northeast","hvd.32044011878808","The scarecrow of Oz / by L. Frank Baum. Illustrated by John R. Neill ","Baum L. Frank 1856-1919.","1915-00-00","1","2715371"
"newengland","hvd.32044012480505","Little women : or Meg Jo Beth and Amy / by Louisa M. Alcott. Parts I and II. ","Alcott Louisa May 1832-1888.","1900-00-00","1","53395785261569"
"northeast","hvd.32044012984605","The damnation of Theron Ware / by Harold Frederic ","Frederic Harold 1856-1898.","1896-00-00","1","10621487"
"newengland","hvd.32044014077663","Equality by Edward Bellamy ... ","Bellamy Edward 1850-1898.","1897-00-00","1","266053"
"newengland","hvd.32044014216626","Ruth Hall : a domestic tale of the present time / by Fanny Fern ","Fern Fanny 1811-1872.","1855-00-00","1","7388433"
"west","hvd.32044014551147","The fates of the Princes of Dyfed By Cenydd Morus [pseud.] Illustrations by R. Machell ","Morris Kenneth 1879-1937.","1914-00-00","1","5359736"
"south","hvd.32044015559610","Aunt Phillis's cabin; or Southern life as it is / by Mary H. Eastman ","Eastman Mary H. 1818-1887.","1852-00-00","1","2510423"
"west","hvd.32044018081075","The American diary of a Japanese girl. By Miss Morning Glory. Illustrated in colour and in black-and-white by Genjiro Yeto ","Noguchi YonÌ© 1875-1947.","1902-00-00","1","156659156139297015332864"
"west","hvd.32044019283753","A daughter of the snows / by Jack London ; with illustrations by Frederick C. Yohn ","London Jack 1876-1916.","1902-00-00","1","3652898"
"northeast","hvd.32044019412584","The master key : an electrical fairy tale founded upon the mysteries of electricity and the optimism of its devotees. It was written for boys but others may read it / by L. Frank Baum; illustrations by F. Y. Cory ","Baum L. Frank 1856-1919","1901-00-00","1","5734996"
"northeast","hvd.32044019675677","Sheppard Lee. Written by himself vol.2","Bird Robert Montgomery 1806-1854.","1836-00-00","1","683942311651237"
"northeast","hvd.32044019983691","Hans Brinker or The silver skates; a story of life in Holland. ","Dodge Mary Mapes 1830-1905.","1886-00-00","1","236095653"
"northeast","hvd.32044020006607","Autobiography of a pocket-handkerchief / by James Fenimore Cooper ; edited with notes and an introd. by Walter Lee Brown ","Cooper James Fenimore 1789-1851.","1897-00-00","1","3083546"
"south","hvd.32044021015177","John Marvel assistant by Thomas Nelson Page illustrated by James Montgomery Flagg ","Page Thomas Nelson 1853-1922.","1909-00-00","1","273542"
"south","hvd.32044021070131","Emily Chester. A novel. ","SeemÌ_ller Anne Moncure (Crane) 1838-1872.","1864-00-00","1","1289124"
"northeast","hvd.32044025018557","The glimpses of the moon / by Edith Wharton ","Wharton Edith 1862-1937","1922-00-00","1","5594117"
"midwest","hvd.32044025695156","The mysterious stranger : a romance / by Mark Twain ; with illustrations by N.C. Wyeth ","Twain Mark 1835-1910.","1916-00-00","9","675739"
"midwest","hvd.32044036969319","Friendship Village by Zona Gale ... ","Gale Zona 1874-1938.","1908-00-00","1","28446329748254"
"newengland","hvd.32044037304656","The world a department store; a story of life under a coÌ¦perative system. By Bradford Peck. With illustrations by Harry C. Wilkinson ","Peck Bradford.","1900-00-00","9","1805774"
"northeast","hvd.32044058146192","The flying girl and her chum / by Edith Van Dyne [i.e. L. F. Baum] ; illustrated by Joseph Pierre Nuyttens ","Baum L. Frank 1856-1919.","1912-00-00","1","15295962"
"northeast","hvd.32044080896400","Emblemland / by John Kendrick Bangs and Charles Raymond Macauley ","Bangs John Kendrick 1862-1922.","1902-00-00","1","4870945"
"northeast","hvd.32044080896988","Aunt Jane's nieces at Millville / by Edith Van Dyne ","Baum L. Frank 1856-1919","1908-00-00","1","2175048"
"northeast","hvd.32044080896996","Aunt Jane's nieces in society / by Edith Van Dyne ","Baum L. Frank 1856-1919.","1910-00-00","1","18977454"
"northeast","hvd.32044080897028","The fate of a crown by Schuyler Staunton [pseud] ","Baum L. Frank 1856-1919.","1905-00-00","1","236083851"
"newengland","hvd.32044080901838","Steadfast: the story of a saint and a sinner by Rose Terry Cooke ","Cooke Rose Terry 1827-1892.","1889-00-00","1","657200"
"northeast","hvd.32044080901960","Afloat and ashore; a sea tale. ","Cooper James Fenimore 1789-1851.","1852-00-00","1","236073672"
"northeast","hvd.32044080902414","The pilot : a tale of the sea / by the author of The pioneers ","Cooper James Fenimore 1789-1851.","1824-00-00","1","2707553"
"south","hvd.32044080923592","Men of iron by Howard Pyle ","Pyle Howard 1853-1911.","1891-00-00","1","8068075"
"south","hvd.32044086958311","The cream of the jest : a comedy of evasions / by James Branch Cabell ","Cabell James Branch 1879-1958.","1917-00-00","1","7003056"
"newengland","hvd.32044087376166","Moving the mountain / by Charlotte Perkins Gilman ","Gilman Charlotte Perkins 1860-1935.","1911-00-00","1","3746147"
"newengland","hvd.32044097042204","The American scholar ; Self-reliance ; Compensation / by Ralph Waldo Emerson ","Emerson Ralph Waldo 1803-1882.","1893-00-00","1","184278"
"newengland","hvd.32044107258493","An island garden by Celia Thaxter with pictures and illuminations by Childe Hassam ","Thaxter Celia 1835-1894.","1894-00-00","1","1003761"
"northeast","hvd.hn1cv6","Philip and his wife. ","Deland Margaret Wade Campbell 1857-1945.","1894-00-00","1","14093418"
"northeast","hvd.hn1e8g","The Primrose ring / Ruth Sawyer ; illustrated by Fanny Munsell ","Sawyer Ruth 1880-1970.","1915-00-00","1","5204476"
"northeast","hvd.hn1ees","Hugh Wynne free Quaker sometime brevet lieutenant-colonel on the staff of His Excellency General Washington; by S. Weir Mitchell... with illustrations by Howard Pyle ","Mitchell S. Weir 1829-1914.","1900-00-00","1","1744052"
"midwest","hvd.hn1mvs","The spoilers / by Rex E. Beach ","Beach Rex 1877-1949.","1906-00-00","1","279629"
"south","hvd.hn1nqg","The traitor : a story of the fall of the invisible empire / by Thomas Dixon Jr. ; illustrated by C. D. Williams ","Dixon Thomas 1864-1946.","1907-00-00","1","2300323"
"newengland","hvd.hn1rx2","The dwelling-place of light / by Winston Churchill ","Churchill Winston 1871-1947.","1917-00-00","1","5512483"
"northeast","hvd.hn1t8d","Mr. Barnes of New York : a novel / by Archibald Clavering Gunter ","Gunter Archibald Clavering 1847-1907.","1887-00-00","9","2384676"
"south","hvd.hn1td4","Sonny a Christmas guest / by Ruth McEnery Stuart ","Stuart Ruth McEnery 1856-1917.","1896-00-00","1","4317514"
"northeast","hvd.hn22pw","Aunt Jane's nieces out West by Edith Van Dyne ","Van Dyne Edith.","1914-00-00","1","2029656"
"northeast","hvd.hn22px","Aunt Jane's nieces abroad / by Edith Van Dyne ","Baum L. Frank 1856-1919.","1906-00-00","1","10810170"
"northeast","hvd.hn22py","Aunt Jane's nieces on vacation by Edith Van Dyne ","Van Dyne Edith.","1912-00-00","1","202950239029596"
"northeast","hvd.hn26wk","The market-place by Harold Frederic ... Illustrated by Harrison Fisher ","Frederic Harold 1856-1898.","1899-00-00","1","1619834"
"northeast","hvd.hn2b9j","The bravo; a tale. ","[Cooper James Fenimore 1789-1851.]","1836-00-00","1","236073675"
"northeast","hvd.hn2bmh","The pathfinder or The inland sea. ","[Cooper James Fenimore 1789-1851]","1851-00-00","1","84027012"
"northeast","hvd.hn2yis","Rinkitink in Oz / by L. Frank Baum...; illustrated by John R. Neill ","Baum L. Frank 1856-1919","1916-00-00","1","12234414"
"south","hvd.hn35p2","The goodness of St. Rocque and other stories by Alice Dunbar ","Dunbar-Nelson Alice Moore 1875-1935.","1899-00-00","1","1198147"
"northeast","hvd.hn3a96","The life and adventures of Santa Claus by L. Frank Baum; with many pictures by Mary Cowles Clark ","Baum L. Frank 1856-1919.","1902-00-00","1","3343074"
"midwest","hvd.hn3gjn","Michael O'Halloran / by Gene Stratton-Porter ... ; illustrations by Frances Rogers ","Stratton-Porter Gene 1863-1924.","1915-00-00","1","1278556"
"newengland","hvd.hn3l1p","The marble faun or The romance of Monte Beni. ","Hawthorne Nathaniel 1804-1864.","1871-00-00","1","57322334"
"newengland","hvd.hn5f8r","Toby Tyler : or Ten weeks with a circus / by James Otis ","Otis James 1848-1912.","1881-00-00","1","10481619"
"south","hvd.hn5lff","To have and to hold / by Mary Johnston ; with illustrations by Howard Pyle E.B. Thompson A.W. Betts and Emlen McConnell ","Johnston Mary 1870-1936.","1900-00-00","1","169843"
"midwest","hvd.hn5n3i","Jane Cable by George Barr McCutcheon ... illustrations in color by Harrison Fisher ","McCutcheon George Barr 1866-1928.","1906-00-00","1","289262"
"midwest","hvd.hn5n8q","Yellow men sleep / by Jeremy Lane ","Lane Jeremy.","1919-00-00","1","18384843"
"newengland","hvd.hn667h","Oldtown folks. ","Stowe Harriet Beecher 1811-1896.","1869-00-00","1","8311313"
"newengland","hvd.hn6d2e","The gates ajar. ","Ward Elizabeth Stuart Phelps 1844-1911.","1869-00-00","1","236369037"
"newengland","hvd.hn8gd8","Uncle Lisha's shop. Life in a corner of Yankeeland. By Rowland E. Robinson ","Robinson Rowland Evans 1833-1900.","1887-00-00","1","8036754"
"newengland","hvd.hn8gdy","Danvis folks by Rowland E. Robinson ","Robinson Rowland Evans 1833-1900.","1894-00-00","1","2230561"
"northeast","hvd.hn8gfg","The circular staircase / by Mary Roberts Rinehart ; with illustrations by Lester Ralph ","Rinehart Mary Roberts 1876-1958.","1908-00-00","1","1265767"
"south","hvd.hn9fu9","The Negro question by George W. Cable ","Cable George Washington 1844-1925.","1890-00-00","1","5700716"
"northeast","hvd.hnijrg","The adventures of Kathlyn / by Harold MacGrath ","MacGrath Harold 1871-1932.","1914-00-00","1","1258957"
"newengland","hvd.hnl32i","Left on Labrador : or The cruise of the schooner-yacht ""Curlew"" / as recorded by ""Wash"" ; edited by C. A. Stephens ","Stephens C. A. 1844-1931.","1872-00-00","1","4126376"
"west","hvd.hnqjjg","The cruise of the Dazzler. ","London Jack 1876-1916.","1902-00-00","1","5087833"
"newengland","hvd.hnqp85","The Jamesons by Mary E. Wilkins ","Freeman Mary Eleanor Wilkins 1852-1930.","1899-00-00","9","996512"
"northeast","hvd.hw3jdp","Satanstoe; or The Littlepage manuscripts. ","Cooper James Fenimore 1789-1851.","1845-00-00","1","2726885320787"
"northeast","hvd.hwjsf5","The heidenmauer; or The Benedictines. A legend of the Rhine. ","Cooper James Fenimore 1789-1851.","1832-00-00","1","1319743"
"newengland","hvd.hwnzqu","Gypsy Breynton / by E. Stuart Phelps ","Phelps E. Stuart 1844-1911.","1876-00-00","1","2132663"
"northeast","hvd.hwpa2w","The story of the other wise man / by Henry Van Dyke ","Van Dyke Henry 1852-1933.","1895-00-00","1","3786343"
"south","hvd.hwqtxk","White acre vs. Black acre : a case at law / reported by J.G. Esq ","J. G. Esq.","1856-00-00","1","13521571"
"newengland","hvd.hwqu7a","Khaled a tale of Arabia / by F. Marion Crawford ","Crawford F. Marion 1854-1909.","1891-00-00","1","943253"
"midwest","hvd.hwqusn","Marching men. ","Anderson Sherwood 1876-1941.","1917-00-00","1","908949"
"northeast","hvd.hwsqjf","Aunt Jane's nieces and Uncle John by Edith Van Dyne ","Van Dyne Edith.","1911-00-00","1","2029574"
"northeast","hvd.hwxgiy","The enchanted island of Yew : whereon Prince Marvel encountered the High Ki of Twi and other surprising people / by L. Frank Baum...illustrated by Fanny Y. Cory ","Baum L. Frank 1856-1919","1903-00-00","9","1336846"
"northeast","hvd.hwxhsz","The sea fairies / by L. Frank Baum ; illustrated by John R. Neill ","Baum L. Frank 1856-1919.","1911-00-00","1","9713223"
"midwest","hvd.hwxnr9","The story of a country town. By E. W. Howe. Illustrated from original designs by W. L. Wells ","Howe E. W. 1853-1937.","1883-00-00","1","1657094"
"midwest","hvd.hwxpqw","A tramp abroad / by Mark Twain ","Twain Mark 1835-1910.","1880-00-00","9","4572460"
"newengland","hvd.hx2fzz","The inside of the cup by Winston Churchill. With illustrations by Howard Giles ","Churchill Winston 1871-1947.","1913-00-00","1","1700553"
"newengland","hvd.hx4xlv","The canoe and the saddle by Theodore Winthrop ... ","Winthrop Theodore 1828-1861.","1862-00-00","1","235957670"
"northeast","hvd.hxdgyi","Aunt Jane's nieces on the ranch by Edith Van Dyne ","Van Dyne Edith.","1913-00-00","1","223004939029609"
"northeast","hvd.hxdikq","Eben Holden a tale of the north country by Irving Bacheller ... ","Bacheller Irving 1859-1950.","1900-00-00","1","1636423"
"midwest","hvd.hxdlmk","The grizzly king; a romance of the wild by James Oliver Curwood; illustrated by Frank B. Hoffman ","Curwood James Oliver 1878-1927.","1916-00-00","1","3867288"
"south","hvd.hxqc5z","Swallow barn; or A sojourn in the Old Dominion. With twenty illus. by Strother ","Kennedy John Pendleton 1795-1870.","1852-00-00","1","849073"
"midwest","hvd.rsl1cm","The bread-winners : a social study. ","Hay John 1838-1905.","1883-00-00","1","1042043"
"south","hvd.rsl27c","Ishmael : or In the depths / by Emma D. E. N. Southworth ","Southworth Emma Dorothy Eliza Nevitte 1819-1899.","1884-00-00","1","3812896"
"newengland","hvd.rslgf1","Kavanagh a tale. By Henry Wadsworth Longfellow ... ","Longfellow Henry Wadsworth 1807-1882.","1849-00-00","1","424174"
"northeast","iau.31858000899033","Old New York / by Edith Wharton ","Wharton Edith 1862-1937.","1952-00-00","2","13737927"
"newengland","iau.31858021656008","A white heron and other stories / by Sarah Orne Jewett ","Jewett Sarah Orne 1849-1909.","1887-00-00","1","10537873"
"midwest","inu.30000005031087","The mystery of the buried crosses; a narrative of psychic exploration by Hamlin Garland... Illustrated with photographs and endpapers ","Garland Hamlin 1860-1940.","1939-00-00","2","1843100"
"west","inu.30000007073442","Martin Eden. ","London Jack 1876-1916.","1909-00-00","1","29659806"
"northeast","inu.30000035025372","Heavy weather. ","Wodehouse P. G. 1881-1975.","1960-00-00","2","365227"
"south","inu.30000048939361","Sanctuary [by] William Faulkner ","Faulkner William 1897-1962.","1931-00-00","2","2954679"
"northeast","inu.30000111848119","Wieland; or The transformation. By Charles Brockden Brown ... ","Brown Charles Brockden 1771-1810.","1827-00-00","1","5396569"
"midwest","inu.30000114424744","Brewster's millions by George Barr McCutcheon ... ","McCutcheon George Barr 1866-1928.","1902-00-00","1","288834"
"northeast","inu.32000001709460","Tros of Samothrace by Talbot Mundy ","Mundy Talbot 1879-1940.","1934-00-00","2","592466"
"midwest","inu.32000002843862","Penrod Jashber v.25","Tarkington Booth 1869-1946.","1932-00-00","2","19907987"
"northeast","inu.32000004061893","The great American novel. ","Williams William Carlos 1883-1963.","1923-00-00","9","798911"
"northeast","inu.32000007478300","Pal Joey by John O'Hara ","O'Hara John 1905-1970.","1940-00-00","2","653710"
"northeast","inu.32000007712070","Uncle Fred in the springtime. ","Wodehouse P. G. 1881-1975.","1940-00-00","2","3135847"
"northeast","inu.32000009143951","Generals die in bed by Charles Yale Harrison ","Harrison Charles Yale 1898-1954.","1930-00-00","2","1013410"
